uniqueid,deo,region,district,gender,age,income,person_of_worth,good_qualities,am_failure,do_well,little_pride,positive_attitude,satisfied_w_self,want_selfrespect,feel_useless,no_good_at_all
1,6,5,55,2,30,152,2,3,3,4,4,3,2,2,2,1
2,2,5,55,1,35,114,3,2,4,3,2,2,3,2,4,2
3,3,1,15,2,33,25,3,4,2,2,1,2,3,1,3,3
4,2,2,21,2,31,71,3,4,4,2,2,3,2,3,1,4
5,5,1,15,2,31,115,3,3,2,3,2,2,3,2,2,3
6,1,1,14,1,30,14,2,2,2,3,3,4,2,2,2,2
7,8,3,34,2,32,81,2,4,4,2,2,3,2,4,3,4
8,2,3,33,1,28,71,3,2,4,4,3,2,1,1,3,3
9,5,5,51,1,34,31,3,3,4,3,3,2,1,2,2,1
10,2,2,25,1,36,83,2,3,1,2,2,2,2,3,3,1
11,6,1,12,2,29,92,2,3,4,3,2,2,4,3,3,3
12,5,3,32,2,29,47,3,4,3,3,4,3,3,2,3,2
13,5,5,54,2,24,143,3,3,3,3,2,3,4,2,4,3
14,3,4,45,2,35,41,3,1,2,1,3,3,3,4,4,4
15,3,3,32,2,38,55,4,4,3,2,2,3,4,2,2,4
16,6,5,54,1,41,26,3,3,2,3,3,2,2,3,2,3
17,7,4,44,2,32,52,1,2,3,3,2,3,2,2,2,3
18,7,4,41,1,30,143,3,3,2,3,3,3,2,4,1,2
19,3,1,13,2,37,149,4,4,2,2,4,1,2,1,2,2
20,6,4,42,1,37,70,4,4,3,3,3,3,1,4,1,2
21,6,2,22,2,30,246,3,1,1,2,1,2,2,1,4,3
22,4,3,35,1,28,49,3,4,3,3,4,2,2,3,3,3
23,6,1,14,1,32,131,3,3,4,3,1,3,3,1,4,3
24,8,2,22,2,33,128,1,3,4,3,4,4,3,2,1,4
25,1,2,22,2,29,35,3,4,3,3,3,4,2,2,3,4
26,1,1,15,2,30,122,3,4,2,2,3,2,1,4,1,3
27,7,4,42,2,28,10,2,2,4,2,3,2,2,3,1,3
28,8,2,21,1,29,18,2,3,3,2,3,3,3,3,4,3
29,4,4,41,2,19,53,2,2,2,3,4,2,2,4,3,3
30,8,5,54,2,29,70,3,3,2,4,3,2,1,1,3,4
31,7,3,31,2,36,21,3,3,2,3,2,1,3,4,2,3
32,8,5,51,2,39,106,2,2,2,3,3,3,4,3,4,2
33,2,5,54,1,36,384,4,2,4,2,4,4,4,2,4,2
34,5,3,33,1,34,163,3,2,3,4,3,2,2,3,3,4
35,6,1,12,2,49,53,1,2,2,1,1,3,4,3,2,4
36,3,3,33,2,31,102,2,3,2,2,2,3,3,3,2,3
37,3,4,45,1,31,304,3,2,3,4,1,4,3,1,3,3
38,5,5,53,1,20,127,2,4,4,3,2,2,4,2,2,4
39,2,3,31,2,40,73,3,2,1,1,3,3,4,2,3,2
40,5,3,35,1,25,59,2,4,4,3,4,2,1,3,2,4
41,6,5,55,1,40,14,4,4,2,4,2,2,1,2,4,3
42,5,3,32,1,32,5,3,2,2,3,1,3,2,4,3,2
43,2,5,53,2,28,22,3,2,3,2,3,3,3,2,2,2
44,7,2,23,1,30,178,3,2,2,2,2,3,2,3,2,2
45,8,4,44,2,33,29,4,2,2,2,4,3,2,3,4,2
46,2,4,45,2,26,28,2,2,3,2,2,3,3,2,2,2
47,4,5,55,1,23,212,4,3,3,4,1,2,3,4,3,3
48,1,3,32,2,31,88,3,2,3,2,1,4,2,2,2,2
49,3,4,45,1,35,23,2,3,4,4,2,3,3,4,2,3
50,5,2,24,1,27,72,4,3,2,1,2,4,2,2,3,4
51,5,4,41,2,33,20,2,2,2,1,2,3,2,3,3,3
52,1,3,31,2,41,27,4,2,4,2,4,2,2,2,2,3
53,5,4,41,2,34,281,3,2,3,4,2,3,4,2,2,4
54,5,3,31,2,38,851,4,2,2,1,2,2,2,4,2,4
55,6,2,21,2,21,31,4,2,2,4,3,2,1,4,2,1
56,6,3,35,2,18,51,4,3,2,2,3,2,3,3,2,1
57,8,5,53,1,24,64,1,2,1,3,4,3,3,1,2,2
58,5,5,52,2,36,10,3,3,1,2,2,3,3,2,2,2
59,3,1,12,1,34,7,2,2,2,4,1,3,3,3,3,2
60,6,5,55,2,28,74,1,3,2,2,4,2,2,3,3,3
61,5,3,33,1,30,35,3,1,3,2,2,3,4,4,3,2
62,6,2,21,2,39,52,3,3,1,4,3,2,1,4,3,4
63,1,4,45,2,33,29,3,3,2,3,3,2,4,4,4,2
64,8,3,31,1,37,35,4,4,3,2,4,2,4,3,3,1
65,2,3,32,1,33,304,2,3,3,3,3,2,3,2,2,2
66,6,3,34,1,27,119,2,2,3,3,2,4,3,2,2,4
